"Warehouse ID","Variant Name",Stock,Barcode1,"Cost Price","Selling Price","Shopify Variant ID",SKU,"KSU (Shopify Product)","Created At","Updated At"
108732,S,5,C14PO03FDGS,16421,108000,44219979202732,C14PO03FDGS,,"2025-06-02 17:48:48","2025-11-24 18:16:00"
108734,L,1,C14PO03UDGL,20130,108000,,C14PO03UDGL,,"2025-06-02 17:48:49","2025-09-01 10:03:00"
108735,M,15,C14PO03UDGM,20130,108000,,C14PO03UDGM,,"2025-06-02 17:48:49","2025-09-01 10:03:00"
108736,S,8,C14PO03UDGS,20130,108000,,C14PO03UDGS,,"2025-06-02 17:48:49","2025-09-01 10:03:00"
108738,L,2,C14PO03UWHL,20130,108000,,C14PO03UWHL,,"2025-06-02 17:48:49","2025-09-01 10:03:00"
108739,M,12,C14PO03UWHM,20130,108000,,C14PO03UWHM,,"2025-06-02 17:48:49","2025-11-16 15:47:00"
108740,S,11,C14PO03UWHS,20130,108000,,C14PO03UWHS,,"2025-06-02 17:48:50","2025-09-01 10:03:00"
108742,L,0,C14PO04FBKL,18040,98000,,C14PO04FBKL,,"2025-06-02 17:48:50","2025-09-01 10:03:00"
108743,M,3,C14PO04FBKM,18040,98000,,C14PO04FBKM,,"2025-06-02 17:48:50","2025-09-01 10:03:00"
108744,S,0,C14PO04FBKS,18040,98000,,C14PO04FBKS,,"2025-06-02 17:48:50","2025-09-01 10:03:00"
108746,L,0,C14PO04FWHL,18040,98000,,C14PO04FWHL,,"2025-06-02 17:48:50","2025-09-01 10:03:00"
108747,M,1,C14PO04FWHM,18040,98000,,C14PO04FWHM,,"2025-06-02 17:48:51","2025-09-01 10:03:00"
108748,S,0,C14PO04FWHS,18040,98000,,C14PO04FWHS,,"2025-06-02 17:48:51","2025-09-01 10:03:00"
108750,L,0,C14SK01FBKL,20460,98000,,C14SK01FBKL,,"2025-06-02 17:48:51","2025-09-01 10:03:00"
108751,M,3,C14SK01FBKM,20460,98000,,C14SK01FBKM,,"2025-06-02 17:48:51","2025-09-01 10:03:00"
108752,S,0,C14SK01FBKS,20460,98000,,C14SK01FBKS,,"2025-06-02 17:48:51","2025-09-01 10:03:00"
108754,L,0,C14SK01FWHL,20460,98000,,C14SK01FWHL,,"2025-06-02 17:48:51","2025-09-01 10:03:00"
108755,M,0,C14SK01FWHM,20460,98000,,C14SK01FWHM,,"2025-06-02 17:48:52","2025-09-01 10:03:00"
108756,S,0,C14SK01FWHS,20460,98000,,C14SK01FWHS,,"2025-06-02 17:48:52","2025-09-01 10:03:00"
108758,L,0,C14ST01UCRL,30580,118000,,C14ST01UCRL,,"2025-06-02 17:48:52","2025-10-20 09:30:00"
108759,M,0,C14ST01UCRM,30580,118000,44219979235500,C14ST01UCRM,,"2025-06-02 17:48:52","2025-11-24 18:16:00"
108760,S,5,C14ST01UCRS,30580,118000,44219979268268,C14ST01UCRS,,"2025-06-02 17:48:52","2025-11-24 18:16:00"
108762,L,2,C14ST01UIVL,30580,118000,,C14ST01UIVL,,"2025-06-02 17:48:53","2025-09-01 10:03:00"
108763,M,0,C14ST01UIVM,30580,118000,44219979301036,C14ST01UIVM,,"2025-06-02 17:48:53","2025-11-24 18:16:00"
108764,S,0,C14ST01UIVS,30580,118000,44219979333804,C14ST01UIVS,,"2025-06-02 17:48:53","2025-11-24 18:16:00"
108766,L,0,C14ST01UMGL,30580,118000,,C14ST01UMGL,,"2025-06-02 17:48:53","2025-09-01 10:03:00"
108767,M,0,C14ST01UMGM,30580,118000,44219979366572,C14ST01UMGM,,"2025-06-02 17:48:53","2025-11-24 18:16:00"
108768,S,3,C14ST01UMGS,30580,118000,44219979399340,C14ST01UMGS,,"2025-06-02 17:48:53","2025-11-24 18:16:00"
108770,L,0,C14ST01UNVL,30580,118000,,C14ST01UNVL,,"2025-06-02 17:48:54","2025-09-01 10:03:00"
108771,M,0,C14ST01UNVM,30580,118000,44219979432108,C14ST01UNVM,,"2025-06-02 17:48:54","2025-11-24 18:16:00"
108772,S,5,C14ST01UNVS,30580,118000,44219979464876,C14ST01UNVS,,"2025-06-02 17:48:54","2025-11-24 18:16:00"
108774,L,2,C14ST02FGNL,25520,98000,,C14ST02FGNL,,"2025-06-02 17:48:54","2025-09-01 10:03:00"
108775,M,6,C14ST02FGNM,25520,98000,,C14ST02FGNM,,"2025-06-02 17:48:54","2025-09-01 10:03:00"
108776,S,13,C14ST02FGNS,25520,98000,,C14ST02FGNS,,"2025-06-02 17:48:54","2025-09-01 10:03:00"
108778,L,0,C14ST02FPKL,25520,98000,,C14ST02FPKL,,"2025-06-02 17:48:55","2025-09-01 10:03:00"
108779,M,0,C14ST02FPKM,25520,98000,44219979497644,C14ST02FPKM,,"2025-06-02 17:48:55","2025-11-24 18:16:00"
108780,S,2,C14ST02FPKS,25520,98000,44219979530412,C14ST02FPKS,,"2025-06-02 17:48:55","2025-11-24 18:16:00"
108782,L,0,C14ST02FWHL,25520,98000,,C14ST02FWHL,,"2025-06-02 17:48:55","2025-09-01 10:03:00"
108783,M,0,C14ST02FWHM,25520,98000,44219979563180,C14ST02FWHM,,"2025-06-02 17:48:55","2025-11-24 18:16:00"
108784,S,0,C14ST02FWHS,25520,98000,44219979595948,C14ST02FWHS,,"2025-06-02 17:48:56","2025-11-24 18:16:00"
108786,L,0,C14ST03FBKL,10532,48000,,C14ST03FBKL,,"2025-06-02 17:48:56","2025-09-01 10:03:00"
108787,M,0,C14ST03FBKM,10532,48000,,C14ST03FBKM,,"2025-06-02 17:48:56","2025-09-01 10:03:00"
108788,S,6,C14ST03FBKS,10532,48000,,C14ST03FBKS,,"2025-06-02 17:48:56","2025-09-01 10:03:00"
108790,L,0,C14ST03FBRL,10532,48000,,C14ST03FBRL,,"2025-06-02 17:48:56","2025-09-01 10:03:00"
108791,M,0,C14ST03FBRM,10532,48000,,C14ST03FBRM,,"2025-06-02 17:48:57","2025-09-01 10:03:00"
108792,S,5,C14ST03FBRS,10532,48000,,C14ST03FBRS,,"2025-06-02 17:48:57","2025-09-01 10:03:00"
108794,L,0,C14ST03FIVL,10532,48000,,C14ST03FIVL,,"2025-06-02 17:48:57","2025-09-01 10:03:00"
108795,M,0,C14ST03FIVM,10532,48000,,C14ST03FIVM,,"2025-06-02 17:48:57","2025-09-01 10:03:00"
108796,S,5,C14ST03FIVS,10532,48000,,C14ST03FIVS,,"2025-06-02 17:48:57","2025-09-01 10:03:00"
